FishID,Length.mm,Mass.g,Locale,Date,Treatment,Order,RateHeat,ExptDuration,SENum,BSNum,ENum,LDNum,MCNum,SET1,BST1,ET1,LDT1,MCT1,SETMed,BSTMed,ETMed,LDTMed,MCTMed
C1-1-19,14,0.022,Croc1,22-Apr,Mirror,1,1,11,2,0,1,6,10,42.7,,43.3,32.9,32.5,42.95,,43.3,38.25,36.65
T1,28,0.28,Tarpin,22-Apr,Mirror,1,0.8,10,13,6,1,16,1,39.6,40.5,42,32.2,34.5,41,41.25,42,37.4,34.5
T2,28,0.295,Tarpin,22-Apr,Mirror,1,0.881818182,11,24,6,1,21,0,37.5,38.4,40.8,31.5,,38.85,39.7,40.8,34.7,
T3,25,0.225,Tarpin,22-Apr,Mirror,1,0.9,11,12,4,1,17,2,37.5,38.5,40.4,31.2,35.2,39,39.6,40.4,32.8,35.85
T4,29,0.344,Tarpin,22-Apr,Mirror,1,1,9,7,3,1,29,7,38.3,38.5,40.4,30.5,31.1,39.7,39.1,40.4,32.6,36.1
T5,23,0.162,Tarpin,22-Apr,Opaque,1,1,9,22,9,2,0,0,31.8,34.6,39.3,,,37.6,36.8,39.65,,
T6,23,0.175,Tarpin,22-Apr,Opaque,1,0.95,11,38,13,2,0,0,32.1,34.1,39.8,,,37.35,37.7,39.9,,
C1-1-19,14,0.022,Croc1,22-Apr,Opaque,2,1.1,9,26,7,1,0,0,32.2,35.1,38.6,,,36.1,37.3,38.6,,
T1,28,0.28,Tarpin,22-Apr,Opaque,2,1.1,11,24,2,1,0,0,33.5,38,41.5,,,39.15,39.3,41.5,,
T2,28,0.295,Tarpin,22-Apr,Opaque,2,1,11,23,5,1,0,0,31.7,38,39.8,,,36.6,38.3,39.8,,
T3,25,0.225,Tarpin,22-Apr,Opaque,2,1,11,29,11,1,0,0,31,32,41.8,,,37.9,41,41.8,,
T4,29,0.344,Tarpin,22-Apr,Opaque,2,1,10,27,15,1,0,0,30.4,30.4,38.4,,,34.1,34,38.4,,
T5,23,0.162,Tarpin,22-Apr,Mirror,2,1,10,10,4,1,8,0,40.1,42.4,42.4,32.3,,41.6,41.9,42.4,,
T6,23,0.175,Tarpin,22-Apr,Mirror,2,1,12,22,8,1,10,0,32.3,38.2,41.2,29.7,,39.1,40.3,41.2,30.35,
T7,29,0.327,Tarpin,23-Apr,Opaque,1,0.96,11,34,3,1,0,0,31.4,39.1,41.4,,,37.2,39,41.4,,
T8,24,0.197,Tarpin,23-Apr,Opaque,1,0.909090909,11,50,18,1,0,0,32,33,41.4,,,36.9,38.25,41.4,,
T9,33,0.536,Tarpin,23-Apr,Mirror,1,0.9,12,13,10,1,12,9,39.5,40,41.5,31.1,31.5,40.1,40.65,41.5,34.75,36.7
T10,28,0.248,Tarpin,23-Apr,Mirror,1,0.95,12,29,15,1,5,11,32.8,35.7,42.2,31.6,31.6,39.9,40.6,42.2,37,40.1
T11,29,0.362,Tarpin,23-Apr,Opaque,1,0.86,11,76,36,1,0,0,32,32.5,41.2,,,37.3,38.2,41.2,,
T12,26,0.214,Tarpin,23-Apr,Opaque,1,0.97,10,23,10,1,0,0,33.8,35,41.1,,,39.3,38.3,41.1,,
T13,27,0.219,Tarpin,23-Apr,Mirror,1,0.88,12,17,4,1,11,4,37,40.2,42.1,32.3,35.7,39.8,41,42.1,36.5,39.55
T14,27,0.278,Tarpin,23-Apr,Mirror,1,0.97,11,12,4,1,11,10,36.5,41.1,41.7,31.7,32.3,40.4,41.3,41.7,33.1,38.2
T7,29,0.327,Tarpin,23-Apr,Mirror,2,0.815384615,13,16,2,1,16,13,38,39.7,40.8,30.8,30.4,39.7,40.15,40.87,33.1,38.1
T8,24,0.197,Tarpin,23-Apr,Mirror,2,0.95,12,22,12,1,43,15,38.3,41.1,43.1,31.7,32.9,41.65,42.5,43.1,34.2,35.9
T9,33,0.536,Tarpin,23-Apr,Opaque,2,8.5,10,17,4,1,0,0,33.8,34.1,40.2,,,38.6,38.4,40.2,,
T10,28,0.248,Tarpin,23-Apr,Opaque,2,0.941666667,12,49,16,1,0,0,30.8,34.6,41,,,38.1,36.8,41,,
T11,29,0.362,Tarpin,23-Apr,Mirror,2,1.14,10,22,5,1,11,30,32.6,37.3,42.1,30.7,31.5,38,40.4,42.1,31.2,35.35
T12,26,0.214,Tarpin,23-Apr,Mirror,2,0.793333333,15,13,4,1,17,6,36.1,41.3,42.4,31,30.8,41.2,41.5,42.4,34,34.35
T13,27,0.219,Tarpin,23-Apr,Opaque,2,0.95,12,19,8,1,0,0,33.8,39.6,41.7,,,39.6,40.35,41.7,,
T14,27,0.278,Tarpin,23-Apr,Opaque,2,1.077777778,9,18,5,1,0,0,32.6,36.5,40.4,,,38.3,39.1,40.4,,
