Family,Tb,TbSD,TbN,Tp,TpSD,TpN
Agamidae,33.9,3.5,23,35.2,3.3,20
Amphisbaenidae,23.6,,1,21.3,0.1,2
Anguidae,27.4,5.2,6,30,,2
Anniellidae,21,,1,24.5,,1
Carphodactylidae,23.4,2.95,5,26.1,1.6,2
Chamaeleonidae,28,3.7,10,31.1,2.4,11
Cordylidae,28.4,0.9,5,32.7,0.9,7
Corytophanidae,30.8,4.5,3,,,
Crotaphytidae,37.8,0.3,3,33.5,,1
Diplodactylidae,25.4,5.1,15,31.9,3.6,6
Eublepharidae,26.1,2.1,5,27,3.4,9
Gekkonidae,28.5,4.9,13,29.8,3.3,15
Gerrhosauridae,32.2,1.9,3,,,
Gymnophthalmidae,27,2.6,9,,,
Helodermatidae,29.8,0.6,2,28.7,,1
Iguanidae,37.5,1.8,7,35.8,2.6,7
Lacertidae,34.9,2.9,31,34.1,1.7,24
Lanthanotidae,28,,1,,,
Leiocephalidae,36.3,,1,,,
Liolaemidae,33.8,2.4,74,34.3,2.1,13
Opluridae,38.2,2.2,2,,,
Phrynosomatidae,34.9,2.1,59,35.1,2.2,20
Phyllodactylidae,25.7,4.4,11,31.5,1.9,5
Polychrotidae,29.4,2.6,44,29.3,2.7,10
Pygopodidae,24.9,,1,,,
Scincidae,31.4,4,72,31,3.3,58
Sphaerodactylidae,30.4,4.2,9,,,
Sphenodontidae,14.5,,1,,,
Teiidae,37.7,2.3,36,37,2.2,7
Trogonophiidae,22,,1,22.5,,1
Tropiduridae,33.6,2.7,21,34.6,1.6,11
Varanidae,35,2.7,19,35,1.6,8
Xantusiidae,23.6,3.1,4,28.9,2,3
Xenosauridae,23,1.9,4,,,
