"","Ascomycota","Basidiomycota","Chytridiomycota","Ciliophora","Fungi_unclassified","Glomeromycota","Rozellomycota","unclassified_Fungi","Zygomycota"
"R-B1",0.421098949452725,0.0498139082925398,5.500247511138e-05,0,0.52729039473443,0.00022000990044552,0,0,0.00152173514474818
"R-B2",0.35378080514312,0.0988825960508189,5.7400887800398e-05,0,0.543873411908771,0.000191336292667993,0,0,0.00321444971682229
"R-B3",0.388059701492537,0.0346055699362964,0,0,0.574636044867911,7.34335701565971e-05,0,0,0.00262525013309835
"R-BF-1",0.356706557881322,0.023568530372497,4.39438105142891e-05,0,0.615198699263209,0.00016112730521906,0,0,0.00432114136723842
"R-BF-2",0.341795007966012,0.012299522039299,0,0,0.641635687732342,0.000276155071694105,0,0,0.00399362719065321
"R-BF-3",0.473523171412619,0.0278726968174204,0.00033500837520938,0,0.490630932439978,0.000268006700167504,0,0,0.00737018425460636
"R-BFi-1",0.434628815019727,0.0105210648043173,6.80241258899823e-05,0,0.550088431363657,0.0003854700467099,0,0,0.00430819463969888
"R-BFi-2",0.365139119253061,0.0095417357759183,0,0,0.602098436422595,5.59086080620213e-05,7.45448107493617e-05,0,0.0230902551296148
"R-Bi-1",0.366057240352609,0.0207249552548383,0,0,0.60485422277236,3.34543264807721e-05,0,0,0.00833012729371226
"R-Bi-2",0.333606883517358,0.0340943002088929,0,0,0.629737391823336,0.000248681985476972,0,2.48681985476972e-05,0.00228787426638814
"R-Bi-3",0.453312882273855,0.0111912742146225,0.000132553163286561,0,0.530799674297942,0.000113616997102767,0,0,0.00444999905319169
"S-B1",0.284390099595701,0.453357657035795,0.0192288728922197,0.000640962429740657,0.146090129178582,0.0010354008480426,0.00152844887092003,0,0.0937284291489991
"S-B2",0.34093637454982,0.309363745498199,0.0176070428171269,0.000440176070428171,0.198319327731092,0.000720288115246098,0.000680272108843537,8.0032012805122e-05,0.131852741096439
"S-B3",0.336772610844547,0.258126195028681,0.0180742451026372,0.000216458025181284,0.304195678054764,0.00108229012590642,0.000288610700241711,0.000613297738013637,0.0806306143800281
"S-Bi-1",0.296719029628157,0.129608272022271,0.0568303837741102,0.0351560946510241,0.224816066812488,0.000835156094651024,0.00023861602704315,0.000596540067607874,0.255199840922649
"S-Bi-2",0.317523694293204,0.193587416817907,0.0306110102843315,0.000483968542044767,0.240774349667272,0.00165355918531962,0.000846944948578342,0.000241984271022384,0.214277071990321
"S-Bi-3",0.405555939943264,0.13588874282156,0.0282640282294333,3.45948937936761e-05,0.277278073756314,0.00134920085795337,0.00114163149519131,0.000276759150349408,0.150211028852141
"S-BF-1",0.283708659191558,0.159615565815509,0.0361820408932441,0.000376896259304626,0.336662583623858,0.000659568453783096,0.000942240648261566,0.000659568453783096,0.181192876660699
"S-BF-2",0.262374033752884,0.188069124610466,0.0376381075721397,0.000242826500465417,0.389250880246064,0.00194261200372334,0.00117366141891618,0.00178072767007973,0.117528026225262
"S-BF-3",0.390297202797203,0.173389110889111,0.0452672327672328,0.000749250749250749,0.2125999000999,0.000749250749250749,0.00106143856143856,0.000312187812187812,0.175574425574426
"S-BFi-1",0.607713303679741,0.158865750101092,0.0224423776789325,5.05458956732713e-05,0.123331985442782,0.000454913061059442,0.000454913061059442,5.05458956732713e-05,0.0866356651839871
"S-BFi-2",0.444804762116299,0.154146861534361,0.0205232997201368,8.88454533339256e-05,0.220825374261472,0.00195459997334636,0.000799609080005331,0.000488649993336591,0.156367997867709
"S-BFi-3",0.388425698871996,0.147049207127677,0.0478992970410332,0,0.25408697073729,0.000735654732712114,0.000531306195847638,0.000408697073728952,0.160863168219716
"S1",0.558112970472329,0.239762407904506,0.0293563310297561,0.000285567422468445,0.102061796790222,0.00217031241076018,0.000799588782911645,5.7113484493689e-05,0.067393911702553
"S2",0.61927103696946,0.232286372127373,0.0213736478561189,0,0.0691168165428559,0.000521308484295582,4.34423736912985e-05,4.34423736912985e-05,0.057343933272514
"S3",0.529653552554316,0.232067249745032,0.03455202892728,6.18104274191056e-05,0.112340451834224,0.00234879624192601,0.000587199060481503,6.18104274191056e-05,0.0883271007819019
