"","Acidobacteria","Actinobacteria","AD3","Armatimonadetes","Bacteria_unclassified","Bacteroidetes","BRC1","Chlamydiae","Chlorobi","Chloroflexi","Cyanobacteria","Elusimicrobia","FBP","FCPU426","Fibrobacteres","Firmicutes","Gemmatimonadetes","GN02","Nitrospirae","OD1","OP11","Planctomycetes","Proteobacteria","Spirochaetes","Tenericutes","Thermi","TM6","TM7","Verrucomicrobia","WPS.2","WS2","WS3"
"R-B1",0.0201271186440678,0.209392655367232,0.000353107344632768,0.000353107344632768,0.00988700564971751,0.211158192090395,0,0,0,0.00494350282485876,0.000353107344632768,0,0,0,0.000353107344632768,0.00353107344632768,0.00459039548022599,0,0,0,0,0.0109463276836158,0.490112994350282,0,0.000353107344632768,0,0,0.000353107344632768,0.0328389830508475,0,0,0.000353107344632768
"R-B2",0.0221101629169899,0.28432893716059,0,0,0.0100853374709077,0.188906128782002,0.000387897595034911,0.000775795190069822,0,0.00193948797517455,0.000387897595034911,0.000387897595034911,0.000775795190069822,0,0,0.00620636152055857,0.00232738557020946,0,0.000775795190069822,0,0,0.0116369278510473,0.439487975174554,0,0,0,0,0.000387897595034911,0.0287044220325834,0,0,0.000387897595034911
"R-B3",0.0260869565217391,0.268379446640316,0,0.000790513833992095,0.0158102766798419,0.223320158102767,0,0.000395256916996047,0,0.00474308300395257,0.00158102766798419,0,0,0,0.000395256916996047,0.00355731225296443,0.00316205533596838,0,0.000395256916996047,0,0,0.0122529644268775,0.390909090909091,0.000395256916996047,0,0,0.000790513833992095,0.00118577075098814,0.0454545454545455,0,0,0.000395256916996047
"R-BF-1",0.0244731475186948,0.203602991162475,0,0,0.00407885791978246,0.248130523453433,0,0.000339904826648538,0,0.00543847722637661,0.00135961930659415,0,0,0,0,0.00339904826648538,0.00407885791978246,0,0.00101971447994562,0,0,0.0163154316791298,0.446295037389531,0,0.000339904826648538,0,0.000339904826648538,0,0.0407885791978246,0,0,0
"R-BF-2",0.022992700729927,0.192700729927007,0,0.000364963503649635,0.00583941605839416,0.243065693430657,0,0.00072992700729927,0,0.00802919708029197,0.00072992700729927,0,0,0,0,0.00656934306569343,0.00109489051094891,0,0.00145985401459854,0,0,0.0145985401459854,0.447080291970803,0.000364963503649635,0.000364963503649635,0,0.00072992700729927,0.000364963503649635,0.0521897810218978,0,0,0.00072992700729927
"R-BF-3",0.016710875331565,0.209814323607427,0,0.000530503978779841,0.013262599469496,0.249867374005305,0.00026525198938992,0.000530503978779841,0,0.00503978779840849,0.0013262599469496,0.00026525198938992,0.000530503978779841,0,0,0.00503978779840849,0.00185676392572944,0,0.000530503978779841,0,0,0.0119363395225464,0.450928381962865,0,0,0,0.000795755968169761,0,0.0305039787798408,0,0,0.00026525198938992
"R-BFi-1",0.022090852520224,0.301182327317984,0,0.000311138767890479,0.0136901057871811,0.204729309271935,0,0.000933416303671437,0,0.00560049782202863,0.000311138767890479,0,0,0,0,0.0239576851275669,0.00248911014312383,0,0.000622277535780958,0,0,0.015556938394524,0.357809583074051,0,0,0,0.000311138767890479,0.00124455507156192,0.0488487865588052,0,0,0.000311138767890479
"R-BFi-2",0.0176085176085176,0.247338247338247,0,0.00204750204750205,0.0102375102375102,0.212530712530713,0,0.00040950040950041,0,0.00286650286650287,0.00040950040950041,0,0,0,0,0.0229320229320229,0.00204750204750205,0,0.000819000819000819,0,0,0.0085995085995086,0.425061425061425,0,0,0,0.00122850122850123,0.00040950040950041,0.0446355446355446,0,0,0.000819000819000819
"R-BFi-3",0.024445564516129,0.203125,0.000252016129032258,0.000756048387096774,0.0143649193548387,0.224546370967742,0,0.000504032258064516,0,0.00705645161290323,0.00126008064516129,0.000504032258064516,0,0,0,0.0153729838709677,0.00226814516129032,0,0.000504032258064516,0.000252016129032258,0,0.0138608870967742,0.442540322580645,0,0.000252016129032258,0,0.00100806451612903,0,0.046875,0,0,0.000252016129032258
"R-Bi-1",0.0140597539543058,0.124194493263035,0,0.000878734622144112,0.00878734622144113,0.283831282952548,0.000585823081429408,0,0,0.00527240773286467,0.000292911540714704,0.000292911540714704,0,0,0,0.017867603983597,0.00117164616285882,0,0.00117164616285882,0.000585823081429408,0,0.0102519039250146,0.501757469244288,0,0.000292911540714704,0,0.000292911540714704,0.000292911540714704,0.0281195079086116,0,0,0
